sentence,categorize
โกรธที่มีคนเข้ามาแทรกแซงเรื่องส่วนตัวของฉัน,a
โมโหที่รู้สึกเหมือนถูกละเลยในที่ทำงาน,a
โกรธมากที่ต้องเจอกับความไม่ยุติธรรม,a
รู้สึกเครียดและไม่พอใจที่ไม่มีการแก้ปัญหานี้,a
หงุดหงิดที่ไม่สามารถจัดการกับงานได้ทันเวลา,a
โมโหที่มีคนไม่เคารพกฎเกณฑ์ที่ได้ตกลงกันไว้,a
โกรธที่ต้องทนกับการตัดสินใจที่ไม่เป็นธรรม,a
รู้สึกโกรธที่ต้องทำสิ่งที่ไม่ต้องการทำ,a
โมโหที่รู้สึกเหมือนถูกมองข้ามทุกครั้ง,a
โกรธมากที่ไม่สามารถแก้ไขสถานการณ์ได้,a
รู้สึกไม่พอใจที่ทำไมต้องมีการเปลี่ยนแปลงตลอดเวลา,a
เครียดที่ต้องทำงานในสภาพแวดล้อมที่ไม่ดี,a
โมโหที่ไม่สามารถหาทางออกจากปัญหานี้ได้,a
รู้สึกโกรธที่ต้องทำสิ่งที่คนอื่นไม่เห็นความสำคัญ,a
โกรธมากที่ไม่มีใครยอมรับผิดในเรื่องนี้,a
โมโหที่ถูกดึงเข้าไปในสถานการณ์ที่ไม่เกี่ยวข้อง,a
โกรธที่ทุกอย่างมันต้องยากแบบนี้,a
รู้สึกเครียดและโกรธที่ไม่ได้รับการสนับสนุน,a
หงุดหงิดที่ทำไมทุกอย่างมันไม่เป็นไปตามแผน,a
โกรธมากที่มีคนไม่เคารพความเป็นส่วนตัว,a
โมโหที่รู้สึกเหมือนถูกตำหนิในเรื่องที่ไม่ควร,a
รู้สึกไม่พอใจที่ต้องเสียเวลาไปกับสิ่งที่ไม่มีค่า,a
โกรธที่ทำไมทุกอย่างต้องล้มเหลว,a
โมโหที่ไม่มีใครพยายามช่วยแก้ปัญหานี้,a
โกรธมากที่ต้องเจอปัญหาซ้ำซาก,a
รู้สึกเศร้าใจที่ต้องจากลา,s
วันนี้รู้สึกเหงามากและไม่มีแรงทำอะไร,s
ทำไมทุกอย่างต้องเป็นอย่างนี้ ฉันรู้สึกท้อแท้,s
คิดถึงคนที่จากไปและรู้สึกเศร้าใจ,s
รู้สึกเหมือนชีวิตกำลังตกอยู่ในความมืด,s
ไม่มีแรงทำอะไรเลยตอนนี้ รู้สึกเศร้า,s
รู้สึกเศร้ากับสิ่งที่เกิดขึ้นในชีวิต,s
ชีวิตมันยากจนฉันไม่รู้จะทำอย่างไร,s
เมื่อไหร่จะหายเศร้าใจได้สักที,s
รู้สึกเหมือนชีวิตไม่มีความหวังเลย,s
ความเศร้าเข้าครอบงำใจฉันจนหมดแล้ว,s
รู้สึกเหมือนโลกนี้ไม่มีใครเข้าใจ,s
มันเป็นวันที่รู้สึกสูญเสียอะไรบางอย่าง,s
ไม่รู้จะทำยังไงกับความเศร้าที่ฉันรู้สึก,s
เศร้าใจที่ต้องยอมรับความจริงที่ไม่อยากรับ,s
หัวใจฉันรู้สึกหนักมากจนไม่สามารถทำอะไรได้,s
รู้สึกเหมือนทุกอย่างจะพังทลายลง,s
ชีวิตมันเงียบเหงาและไม่มีความสุข,s
ทุกครั้งที่ฉันคิดถึงมัน มันก็ยิ่งทำให้เศร้า,s
หัวใจเหมือนโดนบีบจนเจ็บไปหมด,s
รู้สึกเศร้าหลังจากที่ได้ยินข่าวร้าย,s
ทุกอย่างที่ทำเหมือนจะไม่สำเร็จ ทำให้รู้สึกท้อแท้,s
ห่วงใยแต่ทำอะไรไม่ได้ นี่ทำให้รู้สึกเศร้า,s
เศร้าใจที่ชีวิตไม่เป็นไปตามที่คาดหวัง,s
รู้สึกผิดหวังและเศร้าใจมาก,s
การสูญเสียทำให้ใจฉันเศร้าหนัก,s
ทุกสิ่งทุกอย่างดูเหมือนจะไม่ไปไหนเลย,s
รู้สึกเหมือนโดดเดี่ยวในโลกนี้,s
วันนี้ทำอะไรไม่ออกเพราะรู้สึกเศร้า,s
เผชิญกับความเศร้าและรู้สึกสิ้นหวัง,s
ความเศร้าและความเหงาทำให้หัวใจฉันหนัก,s
คิดถึงวันดีๆ ที่เคยมี แล้วรู้สึกเศร้า,s
ทุกสิ่งทุกอย่างดูเหมือนมันจะหลุดมือไป,s
เศร้าใจที่ต้องเผชิญกับความจริงที่ไม่อยากรับ,s
รู้สึกหดหู่และอยากหลีกหนีจากทุกอย่าง,s
โลกมันหมุนไป แต่ฉันรู้สึกเหมือนอยู่ที่เดิม,s
ทุกวันที่ตื่นขึ้นมาฉันรู้สึกเศร้า,s
ทำไมโลกมันถึงได้โหดร้ายขนาดนี้,s
บางครั้งก็อยากหนีไปจากทุกสิ่ง,s
ความเศร้าเหมือนคลื่นที่ซัดเข้ามา,s
ชีวิตตอนนี้มันดูเหมือนจะไม่มีทางออก,s
ทำไมต้องเป็นฉันที่ต้องเผชิญกับเรื่องนี้,s
เศร้าใจที่ไม่มีใครมองเห็นความรู้สึกของฉัน,s
ความทุกข์ทำให้ฉันรู้สึกเหมือนหมดแรง,s
หัวใจมันช้ำไปหมดแล้วจากการเสียใจ,s
เศร้าใจที่ได้เห็นคนที่รักทำให้เจ็บปวด,s
เหมือนฉันไม่มีความหมายในโลกนี้เลย,s
เศร้าที่ไม่สามารถทำให้ทุกอย่างดีขึ้นได้,s
ทำไมฉันรู้สึกผิดหวังตลอดเวลา,s
รู้สึกเหมือนว่าชีวิตมันจะไม่มีความหมายอีกต่อไป,s
ทุกอย่างมันค่อนข้างเศร้าและสับสน,s
บางครั้งก็คิดว่าอยากหายไปจากโลกนี้,s
ความเศร้าเหมือนปกคลุมหัวใจฉัน,s
ชีวิตมันยากจนรู้สึกอยากยอมแพ้,s
หัวใจฉันเหมือนจะพังทลายลง,s
รู้สึกท้อแท้ทุกครั้งที่ต้องเผชิญกับปัญหา,s
ทุกอย่างที่คาดหวังกลับกลายเป็นความผิดหวัง,s
ไม่รู้จะบอกใครว่าฉันรู้สึกเศร้า,s
ชีวิตที่เคยมีความสุข ตอนนี้กลับเป็นแค่ความเศร้า,s
เศร้าใจที่คิดถึงสิ่งที่เสียไป,s
บางครั้งก็ไม่อยากตื่นมาเจอความจริง,s
ทุกอย่างที่ทำมันดูเหมือนจะไม่สำเร็จ,s
มันยากมากที่จะยิ้มให้กับทุกสิ่ง,s
รู้สึกเหมือนว่าทุกอย่างมันไร้ค่าไปหมด,s
ความเศร้าทำให้ทุกอย่างดูมืดมน,s
ไม่มีใครเข้าใจว่าฉันรู้สึกอย่างไร,s
ทุกวันมันเหมือนการต่อสู้กับความเศร้า,s
ความเศร้าทำให้ฉันหลุดจากโลกนี้ไป,s
ชีวิตมันเหมือนหลงทางและไม่รู้จะไปทางไหน,s
เศร้าใจที่ต้องเจอกับอุปสรรคที่ไม่คาดคิด,s
บางครั้งฉันแค่ต้องการที่จะร้องไห้,s
รู้สึกเหมือนทุกอย่างมันจะพังไปหมด,s
เศร้าใจที่ไม่สามารถย้อนเวลากลับไปได้,s
ความเศร้าทำให้ฉันไม่รู้จะทำอะไร,s
ชีวิตมันเหมือนลมหายใจที่หายไป,s
เศร้าใจที่มีคนเข้ามาในชีวิตแล้วไป,s
ทุกสิ่งที่เกิดขึ้นมันทำให้รู้สึกอ้างว้าง,s
เศร้าที่ไม่สามารถแก้ไขอะไรได้,s
หัวใจเหมือนถูกทิ้งให้ทำใจ,s
รู้สึกเศร้าใจที่ไม่สามารถทำอะไรให้ดีขึ้นได้,s
ชีวิตมันมืดมนไปหมด ไม่มีทางออก,s
ความเศร้าเหมือนท่วมทับทุกสิ่งที่เคยดี,s
ทุกครั้งที่ฉันคิดถึงมัน มันยิ่งทำให้เศร้า,s
หัวใจเหมือนโดนบีบจนเจ็บไปหมด,s
รู้สึกเศร้าหลังจากที่ได้ยินข่าวร้าย,s
ทุกอย่างที่ทำเหมือนจะไม่สำเร็จ ทำให้รู้สึกท้อแท้,s
ห่วงใยแต่ทำอะไรไม่ได้ นี่ทำให้รู้สึกเศร้า,s
เศร้าใจที่ชีวิตไม่เป็นไปตามที่คาดหวัง,s
รู้สึกผิดหวังและเศร้าใจมาก,s
การสูญเสียทำให้ใจฉันเศร้าหนัก,s
ทุกสิ่งทุกอย่างดูเหมือนจะไม่ไปไหนเลย,s
รู้สึกเหมือนโดดเดี่ยวในโลกนี้,s
วันนี้ทำอะไรไม่ออกเพราะรู้สึกเศร้า,s
เผชิญกับความเศร้าและรู้สึกสิ้นหวัง,s
ความเศร้าและความเหงาทำให้หัวใจฉันหนัก,s
คิดถึงวันดีๆ ที่เคยมี แล้วรู้สึกเศร้า,s
ทุกสิ่งทุกอย่างดูเหมือนมันจะหลุดมือไป,s
เศร้าใจที่ต้องยอมรับความจริงที่ไม่อยากรับ,s
รู้สึกหดหู่และอยากหลีกหนีจากทุกอย่าง,s
โลกมันหมุนไป แต่ฉันรู้สึกเหมือนอยู่ที่เดิม,s
